category,concept_id,fi,score,lookback
Cerebrovascular disease,4077982,efi,1,3
Cerebrovascular disease,40358268,efi,1,3
Cerebrovascular disease,4111711,efi,1,3
Cerebrovascular disease,434056,efi,1,3
Cerebrovascular disease,44803773,efi,1,3
Cerebrovascular disease,44813770,efi,1,3
Cerebrovascular disease,4145413,efi,1,3
Cerebrovascular disease,4106058,efi,1,3
Cerebrovascular disease,44790196,efi,1,3
Cerebrovascular disease,441874,efi,1,3
Cerebrovascular disease,4215836,efi,1,3
Cerebrovascular disease,4111710,efi,1,3
Cerebrovascular disease,4338523,efi,1,3
Cerebrovascular disease,4045747,efi,1,3
Cerebrovascular disease,4046358,efi,1,3
Cerebrovascular disease,44783213,efi,1,3
Cerebrovascular disease,4217709,efi,1,3
Cerebrovascular disease,4214819,efi,1,3
Cerebrovascular disease,4045748,efi,1,3
Cerebrovascular disease,4045734,efi,1,3
Cerebrovascular disease,40302097,efi,1,3
Cerebrovascular disease,4112021,efi,1,3
Cerebrovascular disease,44788885,efi,1,3
Cerebrovascular disease,44787895,efi,1,3
Cerebrovascular disease,381316,efi,1,3
Cerebrovascular disease,40302092,efi,1,3
Cerebrovascular disease,4046362,efi,1,3
Cerebrovascular disease,40332745,efi,1,3
Cerebrovascular disease,4046359,efi,1,3
Cerebrovascular disease,40332758,efi,1,3
Cerebrovascular disease,381591,efi,1,3
Cerebrovascular disease,42873122,efi,1,3
Cerebrovascular disease,4046360,efi,1,3
Cerebrovascular disease,372924,efi,1,3
Cerebrovascular disease,4137423,efi,1,3
Cerebrovascular disease,40302102,efi,1,3
Cerebrovascular disease,4180770,efi,1,3
Cerebrovascular disease,4267859,efi,1,3
Cerebrovascular disease,4136755,efi,1,3
Cerebrovascular disease,44801726,efi,1,3
Cerebrovascular disease,4143576,efi,1,3
Cerebrovascular disease,374055,efi,1,3
Cerebrovascular disease,44801895,efi,1,3
Cerebrovascular disease,40367461,efi,1,3
Chronic kidney disease,37399120,efi,1,3
Chronic kidney disease,37392374,efi,1,3
Chronic kidney disease,37392915,efi,1,3
Chronic kidney disease,443731,efi,1,3
Chronic kidney disease,44791021,efi,1,3
Chronic kidney disease,37393926,efi,1,3
Chronic kidney disease,44792252,efi,1,3
Chronic kidney disease,198185,efi,1,3
Chronic kidney disease,37398786,efi,1,3
Chronic kidney disease,37394227,efi,1,3
Chronic kidney disease,37394367,efi,1,3
Chronic kidney disease,4295011,efi,1,3
Chronic kidney disease,45763854,efi,1,3
Chronic kidney disease,45763855,efi,1,3
Chronic kidney disease,3543812,efi,1,3
Chronic kidney disease,4221487,efi,1,3
Chronic kidney disease,44792249,efi,1,3
Chronic kidney disease,44803801,efi,1,3
Chronic kidney disease,44803834,efi,1,3
Chronic kidney disease,44792250,efi,1,3
Chronic kidney disease,200687,efi,1,3
Chronic kidney disease,193782,efi,1,3
Chronic kidney disease,44792255,efi,1,3
Chronic kidney disease,42537890,efi,1,3
Chronic kidney disease,443611,efi,1,3
Chronic kidney disease,4099216,efi,1,3
Chronic kidney disease,443612,efi,1,3
Chronic kidney disease,443597,efi,1,3
Chronic kidney disease,75650,efi,1,3
Chronic kidney disease,40395140,efi,1,3
Chronic kidney disease,44792232,efi,1,3
