"age_group","is_female","category","N","count","percent"
"[45,50)",0,"PVD",7521,713,0.0948012232415902
"[45,50)",1,"PVD",13729,1290,0.0939616869400539
"[50,55)",0,"PVD",9542,1031,0.108048627122197
"[50,55)",1,"PVD",16444,1787,0.108671855996108
"[55,60)",0,"PVD",12063,1576,0.130647434303241
"[55,60)",1,"PVD",19021,2334,0.122706482309027
"[60,65)",0,"PVD",12801,2023,0.158034528552457
"[60,65)",1,"PVD",18803,2602,0.138382173057491
"[65,70)",0,"PVD",12266,2334,0.190282080547856
"[65,70)",1,"PVD",17867,2918,0.163317848547602
"[70,75)",0,"PVD",11053,2357,0.213245272776622
"[70,75)",1,"PVD",14077,2584,0.183561838459899
"[75,80)",0,"PVD",7352,1753,0.238438520130577
"[75,80)",1,"PVD",8225,1729,0.210212765957447
"[80,100]",0,"PVD",5447,1469,0.269689737470167
"[80,100]",1,"PVD",5778,1441,0.249394254067151
"[40,45)",0,"PerNeuro",6510,333,0.0511520737327189
"[40,45)",1,"PerNeuro",13069,638,0.0488178131456118
"[45,50)",0,"PerNeuro",7521,538,0.07153304081904
"[45,50)",1,"PerNeuro",13729,912,0.0664287275111079
"[50,55)",0,"PerNeuro",9542,819,0.0858310626702997
"[50,55)",1,"PerNeuro",16444,1311,0.0797251277061542
"[55,60)",0,"PerNeuro",12063,1170,0.0969907983088784
"[55,60)",1,"PerNeuro",19021,1657,0.0871142421534094
"[60,65)",0,"PerNeuro",12801,1415,0.110538239200062
"[60,65)",1,"PerNeuro",18803,1827,0.0971653459554326
"[65,70)",0,"PerNeuro",12266,1414,0.115278004239361
"[65,70)",1,"PerNeuro",17867,1723,0.0964347680080596
"[70,75)",0,"PerNeuro",11053,1422,0.128652854428662
"[70,75)",1,"PerNeuro",14077,1425,0.101228955033033
"[75,80)",0,"PerNeuro",7352,1033,0.14050598476605
"[75,80)",1,"PerNeuro",8225,892,0.108449848024316
"[80,100]",0,"PerNeuro",5447,823,0.151092344409767
"[80,100]",1,"PerNeuro",5778,678,0.117341640706127
"[40,45)",0,"Thyroid",6510,231,0.0354838709677419
"[40,45)",1,"Thyroid",13069,1431,0.109495753309358
"[45,50)",0,"Thyroid",7521,345,0.0458715596330275
"[45,50)",1,"Thyroid",13729,1719,0.125209410736397
"[50,55)",0,"Thyroid",9542,467,0.0489415216935653
"[50,55)",1,"Thyroid",16444,2334,0.141936268547799
"[55,60)",0,"Thyroid",12063,737,0.0610959131227721
"[55,60)",1,"Thyroid",19021,2962,0.155722622364755
"[60,65)",0,"Thyroid",12801,860,0.0671822513866104
"[60,65)",1,"Thyroid",18803,3240,0.172312928787959
"[65,70)",0,"Thyroid",12266,1131,0.0922060981575086
"[65,70)",1,"Thyroid",17867,3695,0.206805843174568
"[70,75)",0,"Thyroid",11053,1201,0.108658282819144
"[70,75)",1,"Thyroid",14077,3264,0.23186758542303
"[75,80)",0,"Thyroid",7352,858,0.116702937976061
"[75,80)",1,"Thyroid",8225,2015,0.244984802431611
"[80,100]",0,"Thyroid",5447,801,0.147053423903066
"[80,100]",1,"Thyroid",5778,1621,0.280546902042229
"[40,45)",0,"Vision",6510,140,0.021505376344086
"[40,45)",1,"Vision",13069,296,0.0226490167572117
"[45,50)",0,"Vision",7521,220,0.029251429331206
"[45,50)",1,"Vision",13729,445,0.0324131400684682
"[50,55)",0,"Vision",9542,328,0.034374345001048
"[50,55)",1,"Vision",16444,538,0.0327171004621747
"[55,60)",0,"Vision",12063,432,0.0358119870678936
"[55,60)",1,"Vision",19021,715,0.0375900320698176
"[60,65)",0,"Vision",12801,613,0.0478868838372002
"[60,65)",1,"Vision",18803,895,0.0475987874275382
"[65,70)",0,"Vision",12266,745,0.0607369965759009
"[65,70)",1,"Vision",17867,1068,0.0597750041976829
"[70,75)",0,"Vision",11053,914,0.0826924816791821
"[70,75)",1,"Vision",14077,1045,0.0742345670242239
"[75,80)",0,"Vision",7352,719,0.0977965179542982
"[75,80)",1,"Vision",8225,754,0.0916717325227964
"[80,100]",0,"Vision",5447,767,0.140811455847255
"[80,100]",1,"Vision",5778,734,0.127033575631706
"[40,45)",0,"WgtLoss",6510,42,0.00645161290322581
"[40,45)",1,"WgtLoss",13069,86,0.00658045757135205
"[45,50)",0,"WgtLoss",7521,59,0.00784470150245978
"[45,50)",1,"WgtLoss",13729,131,0.00954184572802098
"[50,55)",0,"WgtLoss",9542,74,0.00775518759169985
"[50,55)",1,"WgtLoss",16444,153,0.00930430552177086
"[55,60)",0,"WgtLoss",12063,104,0.00862140429412252
"[55,60)",1,"WgtLoss",19021,190,0.00998895957100047
"[60,65)",0,"WgtLoss",12801,148,0.0115615967502539
"[60,65)",1,"WgtLoss",18803,199,0.0105834175397543
"[65,70)",0,"WgtLoss",12266,138,0.0112506114462743
"[65,70)",1,"WgtLoss",17867,202,0.0113057592209101
"[70,75)",0,"WgtLoss",11053,144,0.0130281371573329
"[70,75)",1,"WgtLoss",14077,210,0.0149179512680259
"[75,80)",0,"WgtLoss",7352,92,0.0125136017410229
"[75,80)",1,"WgtLoss",8225,132,0.016048632218845
"[80,100]",0,"WgtLoss",5447,117,0.0214797136038186
"[80,100]",1,"WgtLoss",5778,126,0.0218068535825545
